0,3,4,4,4,4,4,1,2,3,4,1,2,3,4,5
10,6,7,8,9,6,7,8,9,6,7,8,9,6,7,15
20,16,17,18,19,16,17,18,19,16,17,18,19,16,17,15
30,26,27,28,29,26,27,28,29,26,27,28,29,26,27,25
10,6,7,8,9,6,7,8,9,6,7,8,9,6,7,35
20,16,17,18,19,16,17,18,19,16,17,18,19,16,17,15
30,26,27,28,29,26,27,28,29,26,27,28,29,26,27,25
10,6,7,8,9,6,7,8,9,6,7,8,9,6,7,35
20,16,17,18,19,16,17,18,19,16,17,18,19,16,17,15
30,26,27,28,29,26,27,28,29,26,27,28,29,26,27,25
10,6,7,8,9,6,7,8,9,6,7,8,9,6,7,35
40,41,42,43,44,41,42,43,44,41,42,43,44,43,44,45
